ID,年齢,性別,拠点,回答有無,入社からの日数,コンディション,自由記述,登録日時
UID0001,34,男性,拠点A,あり,1081,好調,やりがいを感じる,2025-03-16
UID0002,28,男性,拠点B,あり,488,やや不調,キャリアアップを目指したい,2025-03-23
UID0003,37,女性,拠点C,なし,970,やや不調,評価制度に不満がある,2025-03-15
UID0004,39,女性,拠点B,あり,1077,やや不調,,2025-03-21
UID0005,58,女性,拠点A,あり,1016,好調,人間関係に悩んでいる,2025-03-09
UID0006,60,女性,拠点D,あり,1373,やや不調,評価制度に不満がある,2025-03-05
UID0007,53,男性,拠点E,あり,1673,不調,人間関係に悩んでいる,2025-03-22
UID0008,28,男性,拠点F,あり,635,やや不調,,2025-03-13
UID0009,44,男性,拠点B,あり,1201,普通,人間関係に悩んでいる,2025-03-24
UID0010,34,女性,拠点F,あり,644,普通,,2025-03-06
UID0011,38,男性,拠点C,あり,559,普通,人間関係に悩んでいる,2025-03-21
UID0012,25,男性,拠点A,あり,1814,やや不調,,2025-03-26
UID0013,41,女性,拠点A,あり,979,好調,,2025-03-02
UID0014,60,男性,拠点C,なし,1054,好調,,2025-03-17
UID0015,39,女性,拠点E,なし,338,普通,評価制度に不満がある,2025-03-11
UID0016,46,女性,拠点G,あり,1495,普通,業務が忙しい,2025-03-16
UID0017,41,男性,拠点A,あり,39,不調,キャリアアップを目指したい,2025-03-07
UID0018,30,男性,拠点C,あり,1626,好調,チームの雰囲気が良い,2025-03-20
UID0019,47,女性,拠点C,あり,1007,不調,やりがいを感じる,2025-03-02
UID0020,54,男性,拠点F,あり,58,やや不調,,2025-03-07
UID0021,21,男性,拠点F,あり,493,やや不調,キャリアアップを目指したい,2025-03-05
UID0022,26,女性,拠点B,あり,372,好調,やりがいを感じる,2025-03-10
UID0023,38,女性,拠点F,あり,1103,やや不調,,2025-03-22
UID0024,28,女性,拠点C,あり,415,普通,,2025-03-01
UID0025,34,男性,拠点F,なし,462,好調,,2025-03-06
